Timestamp,Gender,Age,What is the highest degree or level of education you have completed?,At this point in time I am comfortable working with... [...Docker technologies.],At this point in time I am comfortable working with... [...Dockerfiles.],At this point in time I am comfortable working with... [...Visual Studio Code.],At this point in time I am comfortable working with... [...Visual Studio Code to edit Dockerfiles.],At this point in time I am comfortable working with... [...linters.],At this point in time I am comfortable working with... [...syntax highlighters.],At this point in time I am comfortable working with... [...Unix operating systems.],At this point in time I am comfortable working with... [...Javascript and NodeJS.],At this point in time I am comfortable working with... [...Python.],... worked on that had a Dockerfile?,... used Dockerfiles created by others (colleagues or third parties)?,... created/updated a Dockerfile?,"In the Dockerfiles I've developed, I've specified...",I have a good enough understanding of English so that I can confidently answer this survey and understand sentences with Docker and Unix related terms.,T1 - It was simple to understand the objective of the task and the task's instructions.,"T1 - Which of these features did you use to solve this task? (If you don't remember the name of a specific feature, the instructions document contains a list with all the features using the same names.)",T2 - It was simple to understand the objective of the task and the task's instructions.,"T2 - Which of these features did you use to solve this task? (If you don't remember the name of a specific feature, the instructions document contains a list with all the features using the same names.)",T3 - It was simple to understand the objective of the task and the task's instructions.,"T3 - Which of these features did you use to solve this task? (If you don't remember the name of a specific feature, the instructions document contains a list with all the features using the same names.)",Select your opinion towards the following sentences: [It was easy working with the remote desktop environment.],"Select your opinion towards the following sentences: [Having feedback displayed in the IDE (instead of, for example, in an external tool) helped me solve the tasks more quickly.]",Select your opinion towards the following sentences: [I found it easy to get all the information I needed to solve the tasks without leaving the IDE.],Select your opinion towards the following sentences: [The feedback provided inside the IDE made it easier to solve the designated tasks.],I felt overwhelmed by... [...the quantity of information displayed inside VSCode.],I felt overwhelmed by... [...the way the information was displayed inside VSCode.],"During the execution of the tasks, the feedback provided in the IDE helped me... [...finding out what parent image is the most suitable.]","During the execution of the tasks, the feedback provided in the IDE helped me... [...finding out what are the dependencies of the system that must be added to the docker image.]","During the execution of the tasks, the feedback provided in the IDE helped me... [...finding out what are the Dockerfile commands that I need.]","During the execution of the tasks, the feedback provided in the IDE helped me... [...trying to understand if the resulting container is working as intended (e.g., running commands and tests on the container).]","During the execution of the tasks, the feedback provided in the IDE helped me... [...trying to understand why the resulting container is not working as intended.]","During the execution of the tasks, the feedback provided in the IDE helped me... [...finding out which commands are responsible for the container misbehaviour.]","During the execution of the tasks, the feedback provided in the IDE helped me... [...rebuilding the image and re-running the container to confirm that it is working as intended.]",Which features do you feel were the most useful? And why?,What problems did you run into while working with this level of feedback?,How would you improve this level of feedback?,T1 - In Vscode,T1 - Outside Vscode,T1 - Reading Tutorial,T1 - Web Browser,T1 - Total Time,T1 - In Vscode (Switches),T1 - Outside Vscode (Switches),T1 - Reading Tutorial (Switches),T1 - Web Browser (Switches),T2 - In Vscode,T2 - Outside Vscode,T2 - Reading Tutorial,T2 - Web Browser,T2 - Total Time,T2 - In Vscode (Switches),T2 - Outside Vscode (Switches),T2 - Reading Tutorial (Switches),T2 - Web Browser (Switches),T3 - In Vscode,T3 - Outside Vscode,T3 - Reading Tutorial,T3 - Web Browser,T3 - Total Time,T3 - In Vscode (Switches),T3 - Outside Vscode (Switches),T3 - Reading Tutorial (Switches),T3 - Web Browser (Switches)
20/05/2020 17:56:56,Male,26,Master's degree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,4,4,0,,5,5,None,5,None,5,None,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,None,Lack of debugging information,Increasing the number of features related to dockerfile debugging,04:23,09:13,00:51,03:56,18:23,6,5,2,3,12:30,03:30,00:30,03:36,20:06,8,5,2,2,07:38,07:45,01:03,03:47,20:13,16,15,4,6
22/05/2020 19:40:15,Male,21,Bachelor's degree,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,1,1,0,,5,4,None,4,None,5,None,Agree,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Hover instruction because it's a useful shortcut,Leaving IDE workflow too often,,03:13,05:28,00:20,01:42,10:43,7,7,1,5,06:39,08:41,00:45,02:59,19:04,6,7,4,3,06:31,08:31,00:17,04:50,20:09,12,10,2,6
22/05/2020 22:30:38,Male,24,Master's degree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,5,3,5,"... arguments/variables (ARG instruction)., ... volumes (VOLUME instruction)., ... the user (USER instruction)., ... the working directory (WORKDIR instruction)., ... environment variables (ENV instruction).",5,4,None,5,Static Analysis Errors,5,None,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Checking the existence of certain dockerfile documentation alongside some examples.,Took some time finding out what was causing the problem,Some sort of unit testing for Dockerfile and check the results.,03:05,03:06,00:29,00:00,06:40,5,7,2,0,09:48,06:29,00:15,03:29,20:01,13,12,3,6,02:38,02:16,00:09,00:00,05:03,4,4,2,0
25/05/2020 18:51:06,Male,22,Master's degree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,5,4,2,"... arguments/variables (ARG instruction)., ... environment variables (ENV instruction).",5,3,Docker Management,5,None,5,None,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,"The docker management side bar, allowed to discover the ID addresses of the image ",Lack of feedback in terms of knowing the origin of the error ,Allow access to more documentation regarding the commands of docker file inside the IDE,07:40,07:14,01:52,03:42,20:28,15,12,4,5,08:10,07:25,00:49,03:56,20:20,12,10,1,5,06:22,07:16,00:00,03:11,16:49,7,6,0,3
25/05/2020 22:54:32,Male,24,Bachelor's degree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,10,6,6,"... volumes (VOLUME instruction)., ... the working directory (WORKDIR instruction)., ... environment variables (ENV instruction).",5,5,"Static Analysis Errors, CLI",5,CLI,5,CLI,Agree,Neutral,Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Static Analysis - quick feedback on mistakes (e.g. used folder path) ; CLI,I still needed to change the program to debug some issues,Runtime feedback on e.g. exposed ports vs used ports,04:20,05:31,00:34,02:25,12:50,10,11,2,6,08:51,08:19,00:46,02:26,20:22,18,17,2,6,03:16,07:26,00:16,01:49,12:47,9,15,1,7
27/05/2020 17:42:25,Male,22,Bachelor's degree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,2,0,2,... environment variables (ENV instruction).,5,5,Web search,5,"Static Analysis Errors, Docker Management, Web search",5,"Static Analysis Errors, Docker Management, Web search",Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,"Running/stopping containers, because I don't need to keep track of IDs and see the process list everytime I need to kill one",Had to remove a default flag on the run command to show the output,More customization of default actions (e.g. a list of possible options),06:04,07:21,00:17,04:15,17:57,9,11,2,7,11:57,05:27,00:32,02:25,20:21,11,6,2,5,09:33,07:01,00:00,03:26,20:00,14,11,0,5
30/05/2020 12:08:49,Male,24,Master's degree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,3,2,1,"... volumes (VOLUME instruction)., ... the working directory (WORKDIR instruction)., ... environment variables (ENV instruction).",5,5,Static Analysis Errors,5,internet,5,None,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,syntax highlighting for docker commands because it was a convenient way to consult documentation without doing an internet search. Pointing out the mistakes saves time,none,"I wouldnt. The IDE can't think for you, the help it provides is already what you can expect as a software developer",02:29,07:08,00:26,02:32,12:35,6,9,1,4,05:28,06:08,00:10,05:38,17:24,10,10,1,4,03:40,04:31,00:00,03:36,11:47,5,8,0,4
01/06/2020 15:45:19,Male,22,Bachelor's degree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,8,3,5,"... arguments/variables (ARG instruction)., ... the working directory (WORKDIR instruction)., ... environment variables (ENV instruction).",4,5,terminal,4,"Static Analysis Errors, terminal",5,terminal,Strongly Agree,Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,None because I used mostly the command line,Can't build/rebuild dockerfile; ,,04:35,02:29,00:29,00:00,07:33,5,5,1,0,07:03,08:26,00:31,04:07,20:07,17,15,2,7,05:39,06:22,01:00,04:23,17:24,10,7,2,4
04/06/2020 12:23:48,Male,24,Bachelor's degree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,4,1,4,"... arguments/variables (ARG instruction)., ... volumes (VOLUME instruction)., ... environment variables (ENV instruction).",4,4,Static Analysis Errors,5,Static Analysis Errors,5,Static Analysis Errors,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,,05:20,08:50,01:39,01:55,17:44,7,6,2,2,09:41,03:41,00:45,03:00,17:07,9,7,1,2,11:07,05:20,00:31,01:29,18:27,8,7,2,1
04/06/2020 18:57:06,Male,38,Bachelor's degree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,4,2,4,"... arguments/variables (ARG instruction)., ... volumes (VOLUME instruction)., ... the user (USER instruction)., ... the working directory (WORKDIR instruction)., ... environment variables (ENV instruction).",4,4,"Docker Management, Terminal",5,"Static Analysis Errors, Docker Management, Terminal",5,"Static Analysis Errors, Docker Management, Terminal",Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Docker Management. The integration with IDE make simpler the process of build and run containers.,None,"Some actions available only in right-button click could be available directly, like buttons.",09:13,06:55,01:00,03:11,20:19,11,8,2,5,08:58,07:33,00:27,03:42,20:40,14,12,1,6,07:47,05:44,01:05,05:44,20:20,14,11,2,5
