Timestamp,Gender,Age,What is the highest degree or level of education you have completed?,At this point in time I am comfortable working with... [...Docker technologies.],At this point in time I am comfortable working with... [...Dockerfiles.],At this point in time I am comfortable working with... [...Visual Studio Code.],At this point in time I am comfortable working with... [...Visual Studio Code to edit Dockerfiles.],At this point in time I am comfortable working with... [...linters.],At this point in time I am comfortable working with... [...syntax highlighters.],At this point in time I am comfortable working with... [...Unix operating systems.],At this point in time I am comfortable working with... [...Javascript and NodeJS.],At this point in time I am comfortable working with... [...Python.],... worked on that had a Dockerfile?,... used Dockerfiles created by others (colleagues or third parties)?,... created/updated a Dockerfile?,"In the Dockerfiles I've developed, I've specified...",I have a good enough understanding of English so that I can confidently answer this survey and understand sentences with Docker and Unix related terms.,T1 - It was simple to understand the objective of the task and the task's instructions.,"T1 - Which of these features did you use to solve this task? (If you don't remember the name of a specific feature, the instructions document contains a list with all the features using the same names.)",T2 - It was simple to understand the objective of the task and the task's instructions.,"T2 - Which of these features did you use to solve this task? (If you don't remember the name of a specific feature, the instructions document contains a list with all the features using the same names.)",T3 - It was simple to understand the objective of the task and the task's instructions.,"T3 - Which of these features did you use to solve this task? (If you don't remember the name of a specific feature, the instructions document contains a list with all the features using the same names.)",Select your opinion towards the following sentences: [It was easy working with the remote desktop environment.],"Select your opinion towards the following sentences: [Having feedback displayed in the IDE (instead of, for example, in an external tool) helped me solve the tasks more quickly.]",Select your opinion towards the following sentences: [I found it easy to get all the information I needed to solve the tasks without leaving the IDE.],Select your opinion towards the following sentences: [The feedback provided inside the IDE made it easier to solve the designated tasks.],I felt overwhelmed by... [...the quantity of information displayed inside VSCode.],I felt overwhelmed by... [...the way the information was displayed inside VSCode.],"During the execution of the tasks, the feedback provided in the IDE helped me... [...finding out what parent image is the most suitable.]","During the execution of the tasks, the feedback provided in the IDE helped me... [...finding out what are the dependencies of the system that must be added to the docker image.]","During the execution of the tasks, the feedback provided in the IDE helped me... [...finding out what are the Dockerfile commands that I need.]","During the execution of the tasks, the feedback provided in the IDE helped me... [...trying to understand if the resulting container is working as intended (e.g., running commands and tests on the container).]","During the execution of the tasks, the feedback provided in the IDE helped me... [...trying to understand why the resulting container is not working as intended.]","During the execution of the tasks, the feedback provided in the IDE helped me... [...finding out which commands are responsible for the container misbehaviour.]","During the execution of the tasks, the feedback provided in the IDE helped me... [...rebuilding the image and re-running the container to confirm that it is working as intended.]",Which features do you feel were the most useful? And why?,What problems did you run into while working with this level of feedback?,How would you improve this level of feedback?,T1 - In Vscode,T1 - Outside Vscode,T1 - Reading Tutorial,T1 - Web Browser,T1 - Total Time,T1 - In Vscode (Switches),T1 - Outside Vscode (Switches),T1 - Reading Tutorial (Switches),T1 - Web Browser (Switches),T2 - In Vscode,T2 - Outside Vscode,T2 - Reading Tutorial,T2 - Web Browser,T2 - Total Time,T2 - In Vscode (Switches),T2 - Outside Vscode (Switches),T2 - Reading Tutorial (Switches),T2 - Web Browser (Switches),T3 - In Vscode,T3 - Outside Vscode,T3 - Reading Tutorial,T3 - Web Browser,T3 - Total Time,T3 - In Vscode (Switches),T3 - Outside Vscode (Switches),T3 - Reading Tutorial (Switches),T3 - Web Browser (Switches)
22/05/2020 12:23:44,Male,22,Bachelor's degree,Disagree,Disagree,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Disagree,5,5,0,,5,4,"Image Build and Container Runtime Errors, Processes running in the container, Container log output",4,"Image Build and Container Runtime Errors, Container performance statistics, Explore each layer's filesystem, Container log output",4,"Image Build and Container Runtime Errors, Changes to environment variables, Processes running in the container, Service discovery, Container log output",Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Feedback when hovering on dockerfile lines.,,,04:38,00:00,00:51,00:00,05:29,2,0,1,0,09:26,00:01,01:04,00:53,11:24,4,1,2,2,07:32,00:00,01:12,00:00,08:44,3,0,2,0
22/05/2020 15:15:47,Male,22,Bachelor's degree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Neutral,6,4,3,"... arguments/variables (ARG instruction)., ... the user (USER instruction)., ... the working directory (WORKDIR instruction)., ... environment variables (ENV instruction).",5,4,"Image Build and Container Runtime Errors, Processes running in the container, Container log output",5,"Container performance statistics, Base image OS information, Explore each layer's filesystem, Container log output",5,"Image Build and Container Runtime Errors, Changes to environment variables, Service discovery, Container log output",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,"Build automatico e live, Image Build and Container Runtime Error, Explore each layer's filesystem, Service discovery, Container log output. Devido ao feedback imediato e mais direto.",Barreira inicial de aprendizagem-,,08:27,00:00,01:18,00:39,10:24,4,0,2,2,10:29,00:00,02:24,00:00,12:53,3,0,2,0,07:41,00:00,00:18,00:18,08:17,3,0,1,1
22/05/2020 18:09:31,Male,21,High School,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,3,2,1,,5,5,"Static Analysis Errors, Image Build and Container Runtime Errors, Processes running in the container, Container log output",5,"Static Analysis Errors, Image Build and Container Runtime Errors, Container performance statistics, Explore each layer's filesystem, Container log output",5,"Static Analysis Errors, Image Build and Container Runtime Errors, Changes to environment variables, Processes running in the container, Service discovery, Container log output",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The ability to automatically compile an image from the Dockerfile while it is being edited,None,No improvements,05:52,00:00,00:18,00:31,06:41,2,0,2,1,08:35,00:00,00:30,03:38,12:43,4,0,2,3,14:30,00:00,00:16,00:53,15:39,5,0,2,2
25/05/2020 16:48:52,Male,22,Bachelor's degree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,6,4,2,... environment variables (ENV instruction).,5,5,"Image Build and Container Runtime Errors, Processes running in the container, Explore each layer's filesystem, Container log output",5,"Image Build and Container Runtime Errors, Container performance statistics, Layer Size and Build Time, Explore each layer's filesystem, Container log output",5,"Image Build and Container Runtime Errors, Changes to environment variables, Service discovery, Container log output",Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,"Container output and processes running, since they reflect the most direct outcome of changes",Lack of experience with high level liveness,Suggestions for common mistakes,05:48,00:00,01:21,00:33,07:42,4,0,3,2,03:36,00:00,00:31,00:00,04:07,2,0,1,0,08:07,00:00,01:55,01:13,11:15,4,0,4,1
26/05/2020 16:19:17,Male,24,Bachelor's degree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Agree,Disagree,Agree,Disagree,1,1,0,,5,5,"Static Analysis Errors, Image Build and Container Runtime Errors, Processes running in the container, Container log output",5,"Static Analysis Errors, Image Build and Container Runtime Errors, Container performance statistics, Explore each layer's filesystem, Container log output",5,"Static Analysis Errors, Image Build and Container Runtime Errors, Changes to environment variables, Processes running in the container, Container log output",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"The instant feedback when a certain layer wouldn't run allows for quicker identification of errors. The filesystem exploration helps monitoring the container's files in real time. Resource checking is very useful in use cases where live monitoring of such resources is crucial, for example, identify memory leaks, etc. Auto-compile saves a lot of time and reduces pointless effort, which is a nice to have",None,"I don't know, as my experience with dockerfiles is somewhat limited to expand on this question",07:24,00:00,01:23,00:13,09:00,4,0,2,1,05:57,00:00,01:18,03:18,10:33,4,0,2,3,09:49,00:00,00:40,00:00,10:29,3,0,2,0
26/05/2020 17:29:54,Male,23,Bachelor's degree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Agree,Disagree,Strongly Agree,5,5,2,"... the user (USER instruction)., ... the working directory (WORKDIR instruction)., ... environment variables (ENV instruction).",5,4,"Image Build and Container Runtime Errors, Processes running in the container, Container log output",4,"Static Analysis Errors, Image Build and Container Runtime Errors, Container performance statistics, Explore each layer's filesystem, Container log output",4,"Static Analysis Errors, Image Build and Container Runtime Errors, Changes to environment variables, Container log output",Neutral,Strongly Agree,Neutral,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Live Syntax Error,,,08:34,00:03,01:29,00:49,10:55,4,1,3,1,09:29,00:00,00:30,00:00,09:59,3,0,2,0,07:01,00:00,00:55,01:14,09:10,4,0,2,1
26/05/2020 19:28:53,Male,23,Bachelor's degree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,5,2,4,... the working directory (WORKDIR instruction).,5,5,"Image Build and Container Runtime Errors, Processes running in the container, Container log output",5,"Image Build and Container Runtime Errors, Processes running in the container, Container performance statistics, Explore each layer's filesystem, Container log output",5,"Image Build and Container Runtime Errors, Changes to environment variables, Processes running in the container, Service discovery, Container log output",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Container log output, Image Build and Container Runtime Errors, I can see myself using them several times throughout my day to day tasks",None,,03:52,00:05,00:00,00:00,03:57,2,1,0,0,05:15,00:00,00:21,00:00,05:36,2,0,1,0,08:49,00:00,00:16,00:00,09:05,2,0,1,0
27/05/2020 18:53:04,Female,22,Bachelor's degree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,10,8,5,"... volumes (VOLUME instruction)., ... the user (USER instruction)., ... the working directory (WORKDIR instruction)., ... environment variables (ENV instruction).",4,4,"Static Analysis Errors, Image Build and Container Runtime Errors, Processes running in the container, Container log output",5,"Static Analysis Errors, Image Build and Container Runtime Errors, Container performance statistics, Container log output",5,"Static Analysis Errors, Image Build and Container Runtime Errors, Changes to environment variables, Service discovery, Container log output",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Static Analysis Error,  Image Build, Container log output and Container Runtime Errors because they offer instant feedback without needing to run the dockerfile. Processes running in the container and Service discovery are nice because it makes identifying the problem much easier.","None, only my lack of knowledge about docker",Seems excellent to me,01:56,00:12,01:38,00:00,03:46,3,1,2,0,04:28,00:00,00:22,02:33,07:23,5,0,2,2,06:18,00:00,00:20,01:45,08:23,3,0,1,1
27/05/2020 23:02:13,Male,24,Bachelor's degree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,1,0,1,... the working directory (WORKDIR instruction).,5,5,"Image Build and Container Runtime Errors, Processes running in the container, Explore each layer's filesystem, Container log output",5,"Image Build and Container Runtime Errors, Container performance statistics, Explore each layer's filesystem, Container log output",5,"Image Build and Container Runtime Errors, Changes to environment variables, Service discovery, Container log output",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Visão do sistema de ficheiros que permite uma fácil visualização dos ficheiros do programa; Atualização automatica do container,,Ter uma opção de mostrar a informação de rede em tempo real,07:53,00:00,00:12,00:00,08:05,2,0,1,0,07:38,00:00,01:12,02:14,11:04,2,0,2,1,11:26,00:00,00:23,00:00,11:49,3,0,2,0
04/06/2020 20:03:28,Male,22,Bachelor's degree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Disagree,4,1,4,"... arguments/variables (ARG instruction)., ... volumes (VOLUME instruction)., ... the working directory (WORKDIR instruction)., ... environment variables (ENV instruction).",5,5,"Static Analysis Errors, Image Build and Container Runtime Errors, Processes running in the container, Container log output",5,"Static Analysis Errors, Container performance statistics, Base image OS information, Layer Size and Build Time, Explore each layer's filesystem, Container log output",5,"Static Analysis Errors, Image Build and Container Runtime Errors, Changes to environment variables, Service discovery, Container log output",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"3, 4, 9, 10, 11. Not in any particular order",DF1's error on ADD seemed to me like an error with the whole instruction's syntax (only 1 file allowed per instruction perhaps) instead of a filename error,Show detailed error on the specific erroneous filename,07:23,00:00,00:25,00:00,07:48,2,0,1,0,04:13,00:00,01:01,00:00,05:14,2,0,1,0,08:58,00:00,00:15,00:47,10:00,4,0,1,2
